seller_id,orders_6m,active_days_6m,revenue_6m,avg_review_6m,is_risk,risk_stage
0015a82c2db000af6aaaf3ae2ecb0532,3,3,2685.0,3.6666666666666665,False,normal
001cca7ae9ae17fb1caed9dfb1094831,99,99,12385.23,3.899159663865546,False,normal
001e6ad469a905060d959994f1b41e4f,1,1,250.0,1.0,False,normal
002100f778ceb8431b7a1020ff7ab48f,47,47,1084.8999999999999,4.0,False,normal
003554e2dce176b5555353e4f3555ac8,1,1,120.0,5.0,True,almost_churn
004c9cd9d87a3c30c522c48c4fc07416,59,59,8840.39,4.136986301369863,False,normal
00720abe85ba0859807595bbf045a33b,11,11,797.5,3.7083333333333335,False,normal
00ab3eff1b5192e5f1a63bcecfee11c8,1,1,98.0,5.0,True,almost_churn
00d8b143d12632bad99c0ad66ad52825,1,1,86.0,5.0,True,almost_churn
00ee68308b45bc5e2660cd833c3f81cc,110,110,16332.0,4.297872340425532,False,normal
00fc707aaaad2d31347cf883cd2dfe10,103,103,13409.9,3.7375886524822697,False,normal
010543a62bd80aa422851e79a3bc7540,2,2,1416.0,4.5,False,normal
010da0602d7774602cd1b3f5fb7b709e,1,1,849.5,1.0,False,normal
011b0eaba87386a2ae96a7d32bb531d1,1,1,99.98,4.0,True,almost_churn
01266d4c46afa519678d16a8b683d325,3,3,90.25,5.0,True,low_active
013900e863eace745d3ec7614cab5b1a,3,3,308.0,5.0,False,normal
014c0679dd340a0e338872e7ec85666a,4,4,1408.0,4.5,False,normal
014d9a685fd57276679edd00e07089e5,8,8,489.91,3.5555555555555554,False,normal
0176f73cc1195f367f7b32db1e5b3aa8,23,23,2928.6000000000004,3.5833333333333335,False,normal
01bcc9d254a0143f0ce9791b960b2a47,11,11,1521.21,4.4,False,normal
01c97ebb5cdac52891c0ed1c37ba0012,4,4,117.6,4.75,True,recoverable
01cf7e3d21494c41fb86034f2e714fa1,26,26,2676.56,4.615384615384615,False,normal
01ed254b9ff8407dfb9d99ba1e17d923,5,5,1465.99,5.0,False,normal
01fd077212124329bac32490e8ef80d9,31,31,1208.0,4.3076923076923075,False,normal
01fdefa7697d26ad920e9e0346d4bd1b,37,37,4351.41,4.351351351351352,False,normal
0241d4d5d36f10f80c644447315af0bd,98,98,11424.1,4.144230769230769,False,normal
0249d282d911d23cb8b869ab49c99f53,10,10,371.0,4.2,False,normal
024b564ae893ce8e9bfa02c10a401ece,2,2,706.4000000000001,4.75,False,normal
028872bfa080090a9d0abd4f1af168f8,1,1,70.5,5.0,True,almost_churn
02a2272692e13558373c66db98f05e2e,2,2,54.98,3.0,True,low_active
02b72cdeb9cfcc429f1af6f4e3f3b737,4,4,522.65,4.75,False,normal
02c988090b766852e088c69d7fb3b551,7,7,694.25,4.6,False,normal
02d35243ea2e497335cd0f076b45675d,8,8,2241.0,3.111111111111111,False,normal
02dcd3e8e25bee036e32512bcf175493,9,9,1023.0,2.5384615384615383,False,normal
02ecc2a19303f05e59ce133fd923fff7,8,8,1685.6,4.75,False,normal
02f5837340d7eb4f653d676c7256523a,26,26,3419.09,4.8076923076923075,False,normal
02f623a8eb246f3c5f7c2f96462654e6,44,44,6378.0,4.558139534883721,False,normal
0307f7565ff85b299b6e5ef162b1b1a9,6,6,4129.8,3.1666666666666665,False,normal
